group,thermo_freq,generic_freq,fold_enrichment,chi2,p_value,thermo_count,generic_count,significant
Very_large,0.13039519995101767,0.11643273651182341,1.1199187089257874,0.12881947476735695,0.7196592015580383,34.81551838692172,31.08754064865685,False
Aromatic,0.13039519995101767,0.11643273651182341,1.1199187089257874,0.12881947476735695,0.7196592015580383,34.81551838692172,31.08754064865685,False
Large,0.2944292261666716,0.28447866174288233,1.0349782453377216,0.024993528791041907,0.8743831871242027,78.61260338650135,75.9558026853496,False
Small,0.21619431258369629,0.21133624371390014,1.0229873910145428,0.0009835297298991707,0.9749814219846784,57.723881459846936,56.42677707161135,False
Hydrophobic,0.4707949742259863,0.4626117102114051,1.017689271226709,0.01056417176184598,0.9181358670440412,125.70225811833832,123.51732662644514,False
Uncharged,0.8036244760304833,0.7961266653257509,1.0094178615430052,0.011743521788380232,0.9137041558848387,214.5677351001391,212.56581964197554,False
Nonpolar,0.6083721339222353,0.6027289127687968,1.0093627848836966,0.0020132023625352518,0.9642119466334295,162.43535975723682,160.92861970926867,False
Aliphatic,0.4873070013531304,0.48310264781262224,1.0087028161810838,0.00011261951285190779,0.9915328211748162,130.1109693612858,128.98840696597009,False
Neutral,0.3242097239928865,0.3270748497237676,0.9912401527255891,0.0,1.0,86.56399630610073,87.32898487624593,False
Polar,0.39162786607776473,0.39727108723120325,0.9857950368531242,0.0020132023625352518,0.9642119466334295,104.56464024276318,106.07138029073123,False
Amide,0.05714474602066224,0.05849698572521358,0.9768836002780825,0.0,1.0,15.257647187516827,15.618695188632016,False
Hydrophilic,0.2049953017811271,0.21031344006482713,0.9747132742345864,0.0020071671033426754,0.9642655943971497,54.733745575560924,56.153688497308835,False
Negative_charged,0.08455927720946016,0.08742096664671746,0.9672654107243877,0.0,1.0,22.577327014925867,23.34139809467355,False
Acidic,0.08455927720946016,0.08742096664671746,0.9672654107243877,0.0,1.0,22.577327014925867,23.34139809467355,False
Charged,0.19637552396951666,0.20387333467424903,0.963223190925324,0.011743521788380232,0.9137041558848387,52.43226489986096,54.434180358024506,False
Positive_charged,0.1118162467600565,0.11645236802753169,0.9601886904834849,0.0010477566708327417,0.9741777283901405,29.854937884935097,31.092782263350966,False
Basic,0.1118162467600565,0.11645236802753169,0.9601886904834849,0.0010477566708327417,0.9741777283901405,29.854937884935097,31.092782263350966,False
Sulfur,0.04055714796611006,0.042281156255702265,0.959225138518777,0.0,1.0,10.828758506951392,11.2890687202725,False
Very_small,0.16281034593507665,0.17329838996622346,0.9394798530258073,0.04341177039646504,0.8349518567735876,43.47036236466546,46.27067012098168,False
Hydroxyl,0.0882203807395632,0.09581313902038927,0.9207545190726889,0.02365267107565324,0.8777719683930849,23.554841657463392,25.582108118443923,False
Medium,0.19617091536353767,0.2144539680651707,0.9147460274734718,0.17292709321989894,0.6775234020935592,52.37763440206462,57.25920947340055,False
